movie,img_url,img,year,synopsis,runtime,category,category1,rate,category_detail,director,director1,language
James And The Giant Peach,https://dl.airtable.com/.attachmentThumbnails/2d22c9d31900e00ee52abc6a8e866b82/f98467e4,"""MV5BMjIzNzAwNDY4MV5BMl5BanBnXkFtZTcwMDI4OTEyNw@@._V1_SX1500_CR0,0,1500,999_AL_.jpg (https://dl.airtable.com/.attachments/6b0dd3117d9c98bbaa6502707491c15d/a6e58d80/MV5BMjIzNzAwNDY4MV5BMl5BanBnXkFtZTcwMDI4OTEyNw._V1_SX1500_CR001500999_AL_.jpg)"",""MV5BMTNkNWIwNGUtNTJlOC00NDU3LTk0NWEtNjNjNDM4NzRiNThkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR0,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/367ab8455c38cd6b4712cd88559704e8/7867fb61/MV5BMTNkNWIwNGUtNTJlOC00NDU3LTk0NWEtNjNjNDM4NzRiNThkXkEyXkFqcGdeQXVyMTQxNzMzNDI._V1_UY268_CR00182268_AL_.jpg)""",1996,"An orphan, who lives with his two cruel aunts, befriends anthropomorphic bugs who live inside a giant peach, and they embark on a journey to New York City.",79 min,"Adventure,Family","Adventure, Family",6.7,"Adventure,Family",Henry Selick,Henry Selick,English
Gumby: The Movie,https://dl.airtable.com/.attachmentThumbnails/5d9d2b39770af7e97e841e7cc8c9e681/06aea5af,"""MV5BNjU0ODM1MjExOF5BMl5BanBnXkFtZTcwNDY0ODcyMg@@._V1_UY268_CR3,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/dcba8d5fc61d25091a78154771f152b1/01e18e6b/MV5BNjU0ODM1MjExOF5BMl5BanBnXkFtZTcwNDY0ODcyMg._V1_UY268_CR30182268_AL_.jpg)""",1995,"In this offshoot of the 1950s claymation cartoon series, the crazy Blockheads threaten to ruin Gumby's benefit concert by replacing the entire city of Clokeytown with robots.",90 min,"Adventure,Comedy","Adventure, Comedy",6.3,"Adventure,Comedy",Art Clokey,Art Clokey,English
The Secret Adventures of Tom Thumb,https://dl.airtable.com/.attachmentThumbnails/82f44e27e309eb7eb6c8e1cba7e1c80c/e6329920,"""MV5BMTk1NTQ4NjM4NV5BMl5BanBnXkFtZTcwNjEzMzkxMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/0a45f2ec47cdf06f5cbdb42b59272935/c44246e1/MV5BMTk1NTQ4NjM4NV5BMl5BanBnXkFtZTcwNjEzMzkxMQ._V1_UY268_CR30182268_AL_.jpg)""",1993,A boy born the size of a small doll is kidnapped by a genetic lab and must find a way back to his father in this inventive adventure filmed using stop motion animation techniques. Tom meets,60 min,"Adventure,Sci-Fi","Adventure, Sci-Fi",7.2,"Adventure,Sci-Fi",Dave Borthwick,Dave Borthwick,English
The Cat Who Walked by Herself,https://dl.airtable.com/.attachmentThumbnails/e0b0e539246aebeadd2ee2272df295af/50704899,MV5BMTQwODQ2Mzg3MF5BMl5BanBnXkFtZTgwNjYyMTM2MTE@._V1_.jpg (https://dl.airtable.com/.attachments/3e4b6a7f695c8902f235dd632f34ebda/c205b090/MV5BMTQwODQ2Mzg3MF5BMl5BanBnXkFtZTgwNjYyMTM2MTE._V1_.jpg),1988,"A wise house cat tells a story about how humanity came to be. Long ago, helped by the Singing Magic, Man came to dominion over nature, domesticating wild animals who were once foes. And ",70 min,Drama,Drama,7.0,Drama,Ideya Garanina,Ideya Garanina,Russian
The Pied Piper,https://dl.airtable.com/.attachmentThumbnails/cf9206935accc2a88888099d2fba070b/bfdae541,"""MV5BYjAzMDM5NDAtMGMwOC00MjZiLWE0MzgtNDVkNzlmOGY1NTMzXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_UY268_CR4,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/73a01c307633fb42fb76d6d4982e39bc/5c654f88/MV5BYjAzMDM5NDAtMGMwOC00MjZiLWE0MzgtNDVkNzlmOGY1NTMzXkEyXkFqcGdeQXVyNDUxNjc5NjY._V1_UY268_CR40182268_AL_.jpg)""",1986,The story of the Pied Piper of Hamelin with a twist.,53 min,"Fantasy,Horror","Fantasy, Horror",7.9,"Fantasy,Horror",Jirí Barta,Jirí Barta,Czech
The Adventures of Mark Twain,https://dl.airtable.com/.attachmentThumbnails/b2e89f26ee08bad4d1cd7947d4b941de/adf80b95,MV5BMTg1NTQ0NjM2NF5BMl5BanBnXkFtZTcwMjEwNDYyNA@@._V1_.jpg (https://dl.airtable.com/.attachments/c3bd43d6dd858dfcf8a14f73e37752e2/d2011173/MV5BMTg1NTQ0NjM2NF5BMl5BanBnXkFtZTcwMjEwNDYyNA._V1_.jpg),1985,"Tom Sawyer, Becky Thatcher and Huck Finn join Mark Twain on his airship to meet Halley's Comet.",86 min,"Adventure,Family","Adventure, Family",7.4,"Adventure,Family",Will Vinton,Will Vinton,English
The Pinchcliffe Grand Prix,https://dl.airtable.com/.attachmentThumbnails/655e5ee2868540920ddf15648dde0da3/e02532ea,"""MV5BYzdkNjZmZWEtMzVmNi00Y2YwLWEyZDQtMzBlMDc2ZDlkNGFlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/808c855dd281d7ae7a5aaf56b17f1cb1/25ba94a2/MV5BYzdkNjZmZWEtMzVmNi00Y2YwLWEyZDQtMzBlMDc2ZDlkNGFlXkEyXkFqcGdeQXVyMTMxODk2OTU._V1_UX182_CR00182268_AL_.jpg)""",1975,Reodor Felgen decides that he will enter a car race to defeat his former friend who has stolen his plans for a car.,88 min,"Comedy,Family","Comedy, Family",8.5,"Comedy,Family",Ivo Caprino,Ivo Caprino,Norwegian
Fantastic Planet,https://dl.airtable.com/.attachmentThumbnails/226bdd39cd018636907a1e0fba99fdcf/eabf1486,"""MV5BYjhhMDFlZDctYzg1Mi00ZmZiLTgyNTgtM2NkMjRkNzYwZmQ0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/1c0ad2abafa3dd7ac9be973a6e952d93/4424b38f/MV5BYjhhMDFlZDctYzg1Mi00ZmZiLTgyNTgtM2NkMjRkNzYwZmQ0XkEyXkFqcGdeQXVyMTMxODk2OTU._V1_UX182_CR00182268_AL_.jpg)""",1973,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.",72 min,Sci-Fi,Sci-Fi,7.8,Sci-Fi,René Laloux,René Laloux,"French,Czech"
Mad Monster Party?,https://dl.airtable.com/.attachmentThumbnails/9a5ff5c328d2fad47f3873c56c97dbe5/8bf0bb27,"""MV5BOTUwODQ1MDM2NF5BMl5BanBnXkFtZTcwNTM2MjEzMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/290a4309313f57173b04a3f683b23d88/c0d9ff44/MV5BOTUwODQ1MDM2NF5BMl5BanBnXkFtZTcwNTM2MjEzMQ._V1_UY268_CR40182268_AL_.jpg)""",1967,"When Dr Frankenstein decides to retire from the monster-making business, he calls an international roster of monsters to a creepy convention to elect his successor. Everyone is there ",94 min,"Comedy,Family","Comedy, Family",6.7,"Comedy,Family",Jules Bass,Jules Bass,English
Hansel and Gretel,https://dl.airtable.com/.attachmentThumbnails/19f24da45efe225d76915cdde7fc8845/777705c2,"""MV5BMjA0NzAxMjA0Nl5BMl5BanBnXkFtZTcwNzc5OTYxMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/f13481385503028c77ba4b10966ab381/58963409/MV5BMjA0NzAxMjA0Nl5BMl5BanBnXkFtZTcwNzc5OTYxMQ._V1_UY268_CR30182268_AL_.jpg)""",1954,"An electronic puppet version of the Humperdinck opera, adapted for children and using spoken dialogue as well as Humperdinck's music.",72 min,"Adventure,Family","Adventure, Family",6.6,"Adventure,Family",John Paul,John Paul,English
Old Czech Legends,https://dl.airtable.com/.attachmentThumbnails/99c6b5cfcefc941ea34d2d7a4957aa0c/b08fa685,"""MV5BOGU3NjllOGEtMThmNS00MWU1LWI3NTQtMzM3YmRkNTg2MjljXkEyXkFqcGdeQXVyMTYzMzQwMTM@._V1_UY268_CR15,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/f1f506a9541a7537011e2a82ca3596fe/834e5745/MV5BOGU3NjllOGEtMThmNS00MWU1LWI3NTQtMzM3YmRkNTg2MjljXkEyXkFqcGdeQXVyMTYzMzQwMTM._V1_UY268_CR150182268_AL_.jpg)""",1953,"Excellent stop-motion animation film from one of the best Czech filmmakers, Jir铆 Trnka. It tells the ancient story of Czechoslovakia, how it was founded by Czech, the Forefather, and a ",91 min,"Fantasy,History","Fantasy, History",6.9,"Fantasy,History",Jirí Trnka,Jirí Trnka,German
The Emperor's Nightingale,https://dl.airtable.com/.attachmentThumbnails/8b1cf7e2f3a24253300d29d4a8e4d20b/d3883b3f,"""MV5BMTg0MDQ0Mjg5NF5BMl5BanBnXkFtZTYwMDg5OTA5._V1_UY268_CR8,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/b1e601e5488942512dfca133399720ca/06411d27/MV5BMTg0MDQ0Mjg5NF5BMl5BanBnXkFtZTYwMDg5OTA5._V1_UY268_CR80182268_AL_.jpg)""",1949,"A Chinese emperor prefers the tinkling of a bejeweled mechanical bird to the song of a real nightingale. When the Emperor is near death, a nightingale's song restores his health and teaches",55 min,"Family,Fantasy","Family, Fantasy",6.9,"Family,Fantasy",Jirí Trnka,Jirí Trnka,Czech
The Story of the Fox,https://dl.airtable.com/.attachmentThumbnails/59bf64b1e58f9c4889a2dd37b755973a/2a090af1,The-Tale-of-the-Fox.jpg (https://dl.airtable.com/.attachments/0fe77524559048aa58e796aa91df1bdb/9c274023/The-Tale-of-the-Fox.jpg),1937,"When Renard the Fox's mischievous pranks go too far, King Lion is forced to attempt to bring the trickster to justice.",63 min,"Adventure,Comedy","Adventure, Comedy",7.8,"Adventure,Comedy",Irene Starewicz,Irene Starewicz,French
Anomalisa,https://dl.airtable.com/.attachmentThumbnails/7cdaec680e22786e666f39e927bf57c4/18be7f5e.png,Anomalisa.webp (https://dl.airtable.com/.attachments/84bb348d28e2ec134b708d4192bc0068/fc23d5c6/Anomalisa.webp),2015,A man crippled by the mundanity of his life experiences something out of the ordinary.,90 min,"Comedy,Drama","Comedy, Drama",7.3,"Comedy,Drama",Duke Johnson,Duke Johnson,"English,Japanese,Italian"
